Suburb,Total: 2020
melbourne,14174
east melbourne,907
west melbourne,1082
southbank,2794
docklands,2439
footscray,2209
seddon,255
brooklyn,66
kingsville,162
maidstone,837
tottenham,107
west footscray,578
yarraville,701
newport,518
south kingsville,59
spotswood,174
williamstown,759
williamstown north,92
altona,518
seaholme,73
braybrook,1338
albion,360
sunshine north,972
sunshine west,1309
albanvale,342
kealba,377
kings park,537
st albans,3404
ardeer,263
burnside,228
burnside heights,169
cairnlea,374
caroline springs,1018
deer park,1515
ravenhall,400
mambourin,17
mount cottrell,65
wyndham vale,1398
altona north,904
laverton north,566
altona meadows,733
laverton,479
seabrook,153
hoppers crossing,2306
tarneit,1880
truganina,193
cocoroc,5
derrimut,652
point cook,1979
quandong,5
werribee,3710
werribee south,166
flemington,167
kensington,657
ascot vale,1226
maribyrnong,1275
travancore,105
keilor east,116
avondale heights,302
keilor,230
keilor north,65
delahey,278
hillside,57
sydenham,430
taylors hill,313
keilor downs,513
keilor lodge,47
taylors lakes,1189
moonee ponds,1064
aberfeldie,120
essendon,1130
essendon west,41
essendon north,167
strathmore,285
strathmore heights,25
airport west,694
keilor park,218
niddrie,194
gladstone park,443
gowanbrae,82
tullamarine,222
pascoe vale,822
pascoe vale south,374
melbourne airport,387
glenroy,1843
hadfield,405
oak park,243
broadmeadows,2811
dallas,450
jacana,314
coolaroo,478
meadow heights,1038
attwood,81
calder park,0
westmeadows,441
north melbourne,1398
parkville,603
carlton,1464
carlton north,10
princes hill,177
brunswick west,853
brunswick,2285
brunswick east,779
coburg,1995
coburg north,742
greenvale,682
fawkner,68
campbellfield,1079
somerton,208
oaklands junction,21
yuroke,16
craigieburn,3224
donnybrook,40
kalkallo,327
mickleham,637
roxburgh park,1046
fitzroy,1893
collingwood,2083
abbotsford,1286
clifton hill,395
fitzroy north,51
northcote,1383
thornbury,1197
preston,3977
reservoir,4199
thomastown,2013
lalor,1229
epping,2982
alphington,126
fairfield,389
ivanhoe,639
ivanhoe east,90
bellfield,163
heidelberg heights,576
heidelberg west,997
mill park,1461
bundoora,332
kingsbury,350
eaglemont,91
heidelberg,1308
rosanna,300
viewbank,133
macleod,286
yallambie,128
watsonia,415
watsonia north,76
briar hill,76
greensborough,893
diamond creek,368
plenty,62
yarrambat,65
lower plenty,144
montmorency,174
eltham,1
eltham north,34
research,37
wattle glen,31
bend of islands,1
kangaroo ground,30
watsons creek,2
arthurs creek,22
cottles bridge,12
hurstbridge,82
nutfield,13
strathewen,3
kew,1141
kew east,219
balwyn,478
balwyn north,453
bulleen,428
templestowe,322
templestowe lower,379
doncaster,1214
doncaster east,752
donvale,200
north warrandyte,30
warrandyte,117
park orchards,56
wonga park,47
chirnside park,537
burnley,162
cremorne,277
richmond,3594
hawthorn,1101
hawthorn east,688
camberwell,997
burwood,100
canterbury,165
mont albert,3
surrey hills,252
box hill,1481
box hill south,380
box hill north,345
mont albert north,96
blackburn,571
blackburn north,202
blackburn south,384
forest hill,521
nunawading,9
mitcham,575
vermont,3
vermont south,400
ringwood,2270
ringwood north,4
warrandyte south,6
warranwood,55
heathmont,358
ringwood east,470
croydon,1357
croydon hills,76
croydon north,197
croydon south,193
kilsyth,32
kilsyth south,79
mooroolbark,845
beenak,6
don valley,22
hoddles creek,11
launching place,78
seville,96
seville east,21
wandin east,5
wandin north,66
woori yallock,89
yellingbo,27
lilydale,1236
south yarra,179
toorak,671
armadale,508
kooyong,64
malvern,593
caulfield east,343
malvern east,1914
glen iris,435
ashburton,526
ashwood,662
chadstone,866
mount waverley,1155
glen waverley,1771
wheelers hill,552
burwood east,524
wantirna,554
wantirna south,1241
bayswater,1092
bayswater north,563
the basin,236
boronia,1934
ferntree gully,1411
lysterfield,236
lysterfield south,35
upper ferntree gully,214
upwey,227
menzies creek,15
selby,29
belgrave,261
belgrave heights,23
belgrave south,23
tecoma,97
caulfield north,633
caulfield,355
caulfield south,560
carnegie,795
glen huntly,313
murrumbeena,350
bentleigh east,999
hughesdale,279
huntingdale,110
oakleigh,938
oakleigh east,319
oakleigh south,120
clayton,1413
notting hill,125
clarinda,196
clayton south,618
mulgrave,1076
springvale,2200
dingley village,353
springvale south,518
keysborough,1477
noble park,2244
noble park north,405
bangholme,58
dandenong,6249
dandenong north,1298
dandenong south,766
doveton,820
eumemmerring,224
rowville,1331
scoresby,363
knoxfield,419
prahran,2109
windsor,25
st kilda,3482
st kilda west,249
balaclava,535
st kilda east,149
elwood,674
elsternwick,629
gardenvale,53
ripponlea,86
brighton,953
brighton east,532
hampton east,432
moorabbin,889
highett,402
sandringham,479
cheltenham,171
beaumaris,369
black rock,160
mentone,677
moorabbin airport,112
aspendale,332
aspendale gardens,197
braeside,190
mordialloc,754
parkdale,498
waterways,55
bonbeach,270
chelsea,563
chelsea heights,288
edithvale,232
carrum,273
patterson lakes,473
seaford,1690
frankston,5867
frankston south,432
frankston north,691
carrum downs,1491
heatherton,160
bentleigh,808
mckinnon,171
ormond,291
south melbourne,2127
albert park,530
middle park,252
port melbourne,171
little river,119
lara,692
point wilson,5
corio,1737
norlane,1580
north shore,111
bell park,424
bell post hill,293
drumcondra,74
hamlyn heights,297
north geelong,636
rippleside,82
belmont,887
freshwater creek,0
grovedale,720
highton,487
mount duneed,0
wandana heights,58
waurn ponds,191
geelong west,781
herne hill,163
manifold heights,177
breakwater,168
east geelong,264
newcomb,515
st albans park,165
thomson,245
whittington,430
geelong,2233
newtown,501
south geelong,288
anakie,0
barrabool,6
batesford,0
bellarine,0
ceres,6
fyansford,0
gnarwarre,5
grey river,0
kennett river,0
lovely banks,0
moolap,0
moorabool,0
murgheboluc,0
separation creek,0
staughton vale,0
stonehaven,0
sugarloaf,0
wallington,0
wongarra,0
wye river,0
clifton springs,144
curlewis,131
drysdale,213
mannerim,1
marcus hill,4
indented head,31
portarlington,153
st leonards,147
leopold,333
point lonsdale,20
queenscliff,63
swan bay,1
swan island,1
ocean grove,392
barwon heads,120
breamlea,3
connewarre,11
bellbrae,21
bells beach,5
jan juc,86
torquay,470
anglesea,141
aireys inlet,30
big hill,1
eastern view,4
fairhaven,3
moggs creek,2
lorne,91
apollo bay,82
cape otway,6
marengo,6
petticoat creek,0
skenes creek,12
skenes creek north,1
benwerrin,1
boonah,0
deans marsh,5
pennyroyal,0
forrest,14
mount sabine,1
aire valley,0
beech forest,10
gellibrand lower,4
wattle hill,0
weeaproinah,0
wyelangta,0
yuulong,0
glenaire,2
hordern vale,2
johanna,5
lavers hill,3
carlisle river,4
chapple vale,2
gellibrand,8
kennedys creek,0
buckley,3
gherang,3
modewarre,0
moriac,25
mount moriac,18
paraparap,7
bambra,1
ombersley,1
wensleydale,4
winchelsea,138
winchelsea south,3
wurdiboluc,1
birregurra,20
barwon downs,2
gerangamete,0
murroon,5
warncoort,4
whoorel,0
alvie,5
balintore,0
barongarook,13
barongarook west,11
barramunga,3
coragulac,7
corunnun,0
dreeite,5
dreeite south,0
irrewarra,9
irrewillipe,4
irrewillipe east,1
kawarren,15
larpent,3
nalangil,4
ondit,13
pirron yallock,2
pomborneit east,0
swan marsh,3
tanybryn,2
warrion,2
wool wool,0
yeo,0
yeodene,7
colac,863
colac east,11
colac west,33
elliminyt,69
beeac,18
cundare north,0
eurack,0
weering,3
cororooke,16
bookaar,1
bostocks creek,2
bungador,1
camperdown,167
carpendeit,6
chocolyn,2
gnotuk,1
kariah,3
koallah,2
leslie manor,0
pomborneit,8
pomborneit north,0
skibo,1
south purrumbete,1
stonyford,2
tandarook,0
tesbury,0
weerite,2
terang,99
boorcan,4
cudgee,4
dixie,2
ecklin south,8
ellerslie,3
framlingham,12
framlingham east,0
garvoc,9
glenormiston north,3
glenormiston south,1
kolora,1
laang,3
noorat,4
noorat east,0
panmure,7
taroon,0
the sisters,2
bullaharre,0
cobden,55
cobrico,1
elingamite,0
elingamite north,0
glenfyne,1
jancourt,2
jancourt east,5
naroghid,5
simpson,21
scotts creek,6
ayrford,1
brucknell,0
cooriemungle,3
cowleys creek,1
curdies river,3
curdievale,1
heytesbury lower,0
newfield,1
nirranda,6
nirranda east,1
nirranda south,2
nullawarre,9
paaratte,1
the cove,0
timboon,45
timboon west,0
port campbell,58
princetown,38
waarre,0
peterborough,15
darlington,1
dundonnell,1
pura pura,1
mortlake,63
woorndoo,1
hexham,12
caramut,12
mailors flat,4
minjah,3
woolsthorpe,11
allansford,11
mepunga,2
mepunga east,0
mepunga west,2
naringal,0
naringal east,2
purnim,5
purnim west,1
ballangeich,0
wangoom,5
dennington,50
warrnambool,1
bushfield,1
grassmere,2
winslow,10
woodford,6
illowa,7
koroit,67
crossley,2
killarney,19
kirkstall,7
southern cross,0
tarrone,0
tower hill,6
warrong,0
willatook,0
yangery,1
yarpturk,2
orford,1
port fairy,128
codrington,0
narrawong,14
rosebrook,1
st helens,1
toolong,2
tyrendarra,4
tyrendarra east,2
yambuk,9
condah swamp,0
knebsworth,2
macarthur,19
warrabkook,0
hawkesdale,8
minhamite,4
gazette,4
gerrigerrup,0
penshurst,15
purdeet,0
tabor,1
nelson,6
glenthompson,10
nareeb,1
narrapumelap south,0
dunkeld,25
karabeal,0
mirranatwa,0
moutajup,5
victoria point,1
victoria valley,2
woodhouse,1
byaduk north,1
hamilton,697
bochara,11
broadwater,1
buckley swamp,0
byaduk,1
croxton east,0
hensley park,0
morgiana,0
mount napier,0
strathkellar,0
tahara,0
tarrington,6
wannon,3
warrayure,0
yatchaw,0
yulecart,1
branxholme,3
grassdale,3
breakaway creek,1
condah,1
hotspur,0
lake condah,2
wallacedale,0
bessiebelle,7
dartmoor,15
drik drik,1
drumborg,3
greenwald,2
heywood,70
homerton,1
lyons,1
milltown,5
mumbannar,2
myamyn,3
winnap,0
allestree,3
bolwarra,8
cape bridgewater,3
cashmore,5
dutton way,1
gorae,3
gorae west,5
heathmere,4
mount richmond,7
portland,788
portland north,18
portland west,14
digby,2
merino,8
tahara west,0
casterton,75
corndale,0
bahgallah,2
brimboal,0
carapook,1
chetwynd,3
dergholm,2
dorodong,2
dunrobin,1
henty,3
killara,2
lake mundi,0
lindsay,0
nangeela,1
poolaijelo,2
powers creek,0
sandford,6
strathdownie,4
wando bridge,0
wando vale,4
warrock,0
bulart,0
cavendish,4
glenisla,2
grampians,2
mooralla,0
brit brit,1
clover flat,0
coleraine,39
coojar,1
culla,1
gringegalgona,3
gritjurk,0
hilgay,0
konongwootong,2
melville forest,1
muntham,0
nareen,1
paschendale,0
tahara bridge,0
tarrayoukyan,0
tarrenlea,0
wootong vale,2
harrow,4
charam,1
connewirricoo,0
edenhope,19
kadnook,0
langkoop,1
patyah,0
ullswater,0
apsley,10
benayeo,1
bringalbert,1
hesse,1
inverleigh,25
wingeel,2
cressy,12
berrybank,11
duverney,2
foxhow,1
lismore,25
mingay,1
mount bute,1
derrinallum,8
larralea,0
vite vite,1
vite vite north,0
teesdale,12
barunah park,1
shelford,1
rokewood,8
bannockburn,100
gheringhap,7
maude,8
russells bridge,0
she oaks,1
steiglitz,2
sutherlands creek,7
lethbridge,16
bamganie,1
meredith,19
bungal,4
cargerie,3
elaine,10
mount doran,5
plumpton,305
rockbank,1103
kurunjang,439
melton,1769
melton west,1444
toolern vale,61
brookfield,416
exford,5
eynesbury,39
melton south,1732
bacchus marsh,842
balliang,26
balliang east,5
coimadai,16
darley,307
glenmore,0
hopetoun park,24
long forest,18
maddingley,222
merrimu,19
parwan,6
rowsley,9
dales creek,4
greendale,9
korobeit,1
myrniong,9
pentland hills,15
ballan,145
beremboke,9
blakeville,0
bunding,1
colbrook,0
durdidwarrah,2
fiskville,2
ingliston,3
mount wallace,10
gordon,47
alfredton,288
bakery hill,99
ballarat central,1704
ballarat east,525
ballarat north,216
black hill,111
brown hill,122
canadian,185
eureka,44
golden point,210
invermay park,38
lake wendouree,148
mount clear,142
mount helen,87
mount pleasant,165
nerrina,45
newington,74
redan,308
soldiers hill,194
berringa,3
bo peep,3
cape clear,3
carngham,2
chepstowe,4
haddon,35
happy valley,0
hillcrest,7
illabarook,1
lake bolac,12
mininera,0
mount emu,0
nerrin nerrin,0
nintingbool,5
piggoreet,1
pitfield,0
rokewood junction,2
ross creek,23
scarsdale,10
smythes creek,43
smythesdale,48
snake valley,31
springdallah,1
staffordshire reef,2
streatham,1
wallinduc,2
westmere,3
addington,0
barkstead,0
blowhard,6
bolwarrah,2
brewster,7
bullarook,24
bungaree,12
bunkers hill,5
burrumbeet,12
cambrian hill,7
cardigan,30
cardigan village,5
chapel flat,0
clarendon,2
claretown,0
clarkes hill,2
corindhap,2
dereel,9
dunnstown,9
durham lead,7
enfield,5
ercildoune,2
garibaldi,3
glen park,12
glenbrae,1
gong gong,0
grenville,2
invermay,17
lal lal,20
lamplough,2
langi kal kal,2
learmonth,9
leigh creek,9
lexton,16
magpie,7
millbrook,2
miners rest,90
mitchell park,0
mollongghip,1
mount bolton,2
mount egerton,27
mount mercer,0
mount rowan,17
napoleons,26
navigators,10
pootilla,13
scotsburn,4
springbank,3
sulky,8
wallace,10
warrenheip,104
wattle flat,0
waubra,16
weatherboard,2
werneth,1
yendon,7
lake gardens,87
wendouree,1152
bonshaw,0
delacombe,518
sebastopol,823
buninyong,112
linton,22
mannibadar,1
pittong,2
willowvale,0
bradvale,0
carranballac,2
skipton,18
creswick,2
creswick north,1
dean,2
glendaruel,2
langdons hill,2
mount beckworth,0
tourello,0
allendale,2
ascot,4
bald hills,1
blampied,7
broomfield,5
cabbage tree,0
campbelltown,2
coghills creek,4
kingston,2
kooroocheang,0
lawrence,3
mount prospect,0
newlyn,4
newlyn north,1
rocklyn,0
smeaton,4
smokeytown,0
springmount,4
strathlea,0
werona,1
clunes,60
glengower,0
mount cameron,1
ullina,0
amherst,0
burnbank,4
caralulup,0
dunach,5
evansford,3
lillicur,4
mount glasgow,10
stony creek,1
talbot,18
beaufort,119
chute,0
cross roads,0
lake goldsmith,3
lake wongan,0
main lead,0
mena park,1
nerring,0
raglan,6
stockyard hill,2
stoneleigh,2
trawalla,12
waterloo,4
ballyrogan,1
bayindeen,0
buangor,11
middle creek,1
ararat,845
armstrong,13
cathcart,0
crowlands,1
denicull creek,2
dobie,11
dunneworthy,1
eversley,1
great western,0
langi logan,1
maroona,2
mount cole,1
mount cole creek,0
moyston,17
norval,5
rhymney,0
rocky point,1
rossbridge,1
warrak,13
tatyoon,4
yalla-y-poora,0
bornes hill,0
chatsworth,1
mafeking,15
stavely,0
wickliffe,10
willaura,14
willaura north,0
bellellen,0
mokepilly,0
stawell,496
winjallok,0
barkly,0
bolangum,0
callawadda,0
campbells bridge,0
concongella,0
deep lead,0
fyans creek,0
germania,0
greens creek,0
halls gap,50
illawarra,3
joel joel,0
joel south,0
kanya,0
lake fyans,0
lake lonsdale,1
lubeck,0
morrl morrl,0
paradise,0
pomonal,5
rostron,0
wal wal,0
wallaloo,0
wallaloo east,0
frenchmans,2
landsborough,6
landsborough west,0
navarre,2
shays flat,0
wattle creek,0
dadswells bridge,5
glenorchy,6
ledcourt,2
riachella,0
marnoo,7
banyena,3
rupanyup,19
kewell,5
murtoa,31
brim,17
minyip,20
sheep hills,2
aubrey,3
bangerang,0
cannum,3
crymelon,1
kellalac,1
lah,0
warracknabeal,178
wilkur,0
willenabrina,0
beulah,17
kenmare,0
hopetoun,20
horsham,1336
blackheath,0
brimpaen,4
bungalally,6
cherrypool,0
dooen,7
drung,7
gymbowen,0
haven,19
jung,1
kalkee,4
kanagulk,1
karnak,0
laharum,10
longerenong,0
lower norton,2
mckenzie creek,2
mockinya,1
murra warra,3
nurcoung,0
nurrabiel,7
pimpinio,11
quantong,8
riverside,0
rocklands,0
st helens plains,7
telangatuk east,0
toolondo,4
vectis,8
wail,7
wallup,1
wartook,1
wonwondah,8
zumsteins,0
balmoral,9
englefield,0
gatum,0
pigeon ponds,0
vasey,1
arapiles,0
clear lake,1
douglas,2
duchembegarra,0
grass flat,0
jilpanger,0
miga lake,2
mitre,4
natimuk,9
noradjuha,6
tooan,0
wombelano,1
goroke,9
minimay,3
neuarpurr,1
ozenkadnook,0
peronne,1
antwerp,0
dimboola,107
tarranyurk,0
miram,2
broughton,2
gerang gerung,5
glenlee,3
kiata,9
lawloit,1
little desert,0
lorquon,0
netherby,5
nhill,116
yanac,2
kaniva,48
lillimur,3
serviceton,5
telopea downs,1
jeparit,27
albacutya,0
yaapeet,5
diggers rest,23
bulla,72
sunbury,2091
wildwood,16
clarkefield,1
riddells creek,96
bolinda,3
cherokee,3
kerrie,6
romsey,175
springfield,5
benloch,9
goldie,1
lancefield,90
nulla vale,8
bullengarook,23
gisborne,383
gisborne south,40
new gisborne,57
macedon,117
mount macedon,52
ashbourne,4
cadello,4
carlsruhe,28
cobaw,1
hesket,3
newham,15
rochford,3
woodend,227
woodend north,11
barfold,2
baynton,0
baynton east,0
edgecombe,9
glenhope,3
greenhill,3
kyneton,360
kyneton south,0
langley,4
lauriston,10
lyal,0
metcalfe east,1
mia mia,14
myrtle creek,0
pastoria,0
pastoria east,0
pipers creek,1
redesdale,14
sidonia,0
spring hill,5
tylden,10
tylden south,0
drummond north,4
malmsbury,29
taradale,10
elphinstone,24
metcalfe,6
sutton grange,3
castlemaine,501
moonlight flat,0
barkers creek,6
campbells creek,34
chewton,20
chewton bushlands,0
faraday,10
fryerstown,4
glenluce,2
gower,0
guildford,3
irishtown,0
mckenzie hill,12
muckleford,19
tarilta,0
vaughan,1
yapeen,1
harcourt,29
harcourt north,1
ravenswood,17
ravenswood south,9
barrys reef,1
blackwood,13
fern hill,2
lerderderg,11
little hampton,2
newbury,0
north blackwood,2
trentham,64
trentham east,1
basalt,3
daylesford,167
bullarto,0
bullarto south,0
clydesdale,3
coomoora,4
denver,1
drummond,13
dry diggings,2
eganstown,8
elevated plains,2
franklinford,0
glenlyon,9
hepburn,9
hepburn springs,7
korweinguboora,6
leonards hill,0
lyonville,3
mount franklin,1
musk,3
musk vale,4
porcupine ridge,5
sailors falls,1
sailors hill,5
shepherds flat,3
spargo creek,2
strangways,1
wheatsheaf,3
yandoit,6
yandoit hills,1
green gully,0
joyces creek,0
muckleford south,1
newstead,24
sandon,1
welshmans reef,3
baringhup,8
baringhup west,0
bradford,0
eastville,0
laanecoorie,14
maldon,37
neereman,1
nuggetty,3
shelbourne,0
tarrengower,0
walmer,7
woodstock west,1
carisbrook,53
adelaide lead,2
alma,5
bowenvale,9
bung bong,1
cotswold,4
craigie,3
daisy hill,14
flagstaff,2
havelock,4
homebush,1
majorca,11
maryborough,579
moolort,6
natte yallock,2
rathscar,0
rathscar west,1
simson,3
timor,4
timor west,0
wareek,7
avoca,59
moyreisk,0
amphitheatre,31
mount lonarch,2
elmhurst,6
glenlofty,1
glenlogie,0
glenpatrick,8
nowhere creek,0
bet bet,9
betley,6
bromley,0
dunluce,1
dunolly,49
eddington,0
goldsborough,9
inkerman,0
mcintyre,0
moliagul,2
mount hooghly,2
archdale,0
archdale junction,7
bealiba,13
burkes flat,0
cochranes creek,5
emu,2
logan,1
avon plains,0
beazleys bridge,0
carapooee,0
carapooee west,0
coonooer bridge,0
coonooer west,0
dooboobetic,1
gooroc,0
gowar east,0
gre gre,0
gre gre north,0
gre gre south,0
kooreh,0
moolerr,0
moonambel,3
percydale,1
redbank,0
slaty creek,0
st arnaud,122
st arnaud east,0
st arnaud north,0
stuart mill,0
sutherland,0
swanwater,0
tanwood,1
tottington,0
traynors lagoon,0
tulkara,0
warrenmang,0
yawong hills,0
areegra,1
boolite,0
carron,1
cope cope,0
corack,0
corack east,0
donald,119
gil gil,5
jeffcott,1
jeffcott north,0
laen,0
laen east,0
laen north,0
lawler,2
litchfield,1
rich avon,0
rich avon east,0
rich avon west,0
swanwater west,0
massey,0
morton plains,0
warmur,0
watchem,9
watchem west,0
ballapur,0
birchip,19
birchip west,0
curyo,0
jil jil,0
karyrie,0
kinnabulla,0
marlbed,1
narraport,2
reedy dam,0
whirily,2
banyan,0
watchupga,2
willangie,0
woomelang,2
lascelles,6
speed,2
turriff east,0
